,cosine1,cosine2,euclidean1,euclidean2,l21,l22,l11,l12,canberra1,canberra2,chebyshev1,chebyshev2,correlation1,correlation2
21118,-3.6215003,0.13531016,3.4266748,-0.096952096,3.4266748,-0.096952096,3.7109907,0.8627281,3.843093,0.7615198,-3.103909,-2.5054119,-3.8433893,1.4517008
21119,-6.4284916,-1.2224535,6.2406063,1.1912463,6.2406063,1.1912463,5.7751913,2.7652214,5.86662,2.736933,-6.330354,-0.7432662,-5.1383214,0.055333406
21120,-3.742498,1.3294572,3.670109,-1.3459039,3.670109,-1.3459039,4.486251,-0.3687393,4.048842,-0.99548066,-4.5298505,-3.888427,-4.1975794,2.9386349
21121,-7.01324,1.3760215,6.92684,-1.6323031,6.92684,-1.6323031,7.7064576,0.56527144,6.8643,0.1352978,-6.7644844,-3.3910873,-7.428527,3.034053
21122,-3.1718767,-0.9020657,3.0471756,0.7879427,3.0471756,0.7879427,2.4708824,1.4639751,2.9491813,1.3909034,-3.5177243,-2.1103675,-2.737867,0.43689966
21123,-4.5615244,0.39392793,4.287316,-0.40918007,4.287316,-0.40918007,4.688335,0.7213941,4.897814,0.37206385,-4.484637,-2.6428037,-4.7474203,1.7649913
21124,-3.9252744,1.4272351,3.6817758,-1.4430429,3.6817758,-1.4430429,4.4675736,-0.38460854,4.10962,-0.8888048,-3.9762342,-3.6583245,-4.344119,2.9258256
21125,-3.4892836,-1.0421414,3.4271097,0.8880608,3.4271097,0.8880608,2.9061048,1.5852572,3.1736953,1.3816267,-3.9111698,-1.9584631,-3.198521,0.2846875
21126,-5.8418365,0.1782376,5.5019426,-0.36476243,5.5019426,-0.36476243,5.7093654,1.1857661,5.6479144,1.3780718,-5.769779,-2.518537,-5.0230675,2.094618
21127,-4.97096,-2.0525057,5.541905,1.8428146,5.541905,1.8428146,4.456711,3.0453002,4.744155,2.8349235,-5.297878,-0.49024245,-3.6191123,-0.4312177
21128,-6.8523026,0.10980651,6.5954323,-0.30120325,6.5954323,-0.30120325,6.900175,1.8872423,6.7118087,1.4257683,-6.6122847,-2.4538689,-7.1894965,1.6704375
21129,-5.906896,0.22402588,5.508037,-0.36895144,5.508037,-0.36895144,5.8098755,1.1889642,5.5945306,1.3784263,-5.788072,-2.5054839,-4.959163,2.1236227
21130,-3.400602,-0.09947177,3.482763,-0.0586522,3.482763,-0.0586522,3.361504,0.7704107,3.5094478,0.59477943,-3.9422774,-2.6986532,-3.0877423,1.2124932
21131,-4.3586364,0.64139295,3.8549078,-0.3970268,3.8549078,-0.3970268,3.7738044,1.0578116,4.9651127,-0.64518857,-4.7677503,-3.7431872,-4.917355,1.7673894
21132,-2.709663,-0.12710278,2.5457006,0.3765905,2.5457006,0.3765905,2.2520983,0.99133205,2.809731,0.23393135,-3.1409948,-2.9931061,-2.408764,1.3531206
21133,-5.7732983,0.17263307,5.7240047,-0.6265095,5.7240047,-0.6265095,5.665339,1.2618241,5.8071175,1.1836904,-6.1078877,-2.9262605,-5.3234024,2.496356
21134,-6.3067575,-0.7146756,6.034537,0.42077622,6.034537,0.42077622,5.710439,1.6190995,5.8076673,1.8242888,-6.509081,-1.1616279,-5.5031867,0.8749823
21135,-2.671114,-0.20083898,2.7341223,0.1380764,2.7341223,0.1380764,2.4918168,1.1959773,3.3365536,-0.05179875,-3.6549766,-3.3493717,-3.3048587,1.4309934
21136,-6.16481,-1.2315702,5.889423,1.3082598,5.889423,1.3082598,5.4489336,2.869646,5.7987747,2.754733,-5.55388,-0.97852725,-4.952692,-0.18464662
21137,-3.0217216,0.14635742,2.9628425,0.012768545,2.9628425,0.012768545,3.0739872,0.77749926,3.24585,0.30757537,-3.3992596,-2.8519871,-3.0732203,1.7749761
21138,-6.802138,-0.28161082,6.690517,0.2097948,6.690517,0.2097948,6.7266335,1.9016978,6.3057537,2.1784468,-6.5100074,-1.8005955,-6.26724,1.8876574
21139,-4.107804,0.000186466,4.000901,-0.06424918,4.000901,-0.06424918,4.320392,0.88134205,4.3992248,0.8736136,-4.4791346,-2.7324603,-4.219064,1.4390643
21140,-6.0396056,-2.0192404,5.928225,1.8254964,5.928225,1.8254964,5.123377,3.0736253,5.2794375,3.0835984,-5.620411,-0.5474938,-5.007504,-0.9313126
21141,-6.3544183,1.0754392,5.941345,-1.2516963,5.941345,-1.2516963,6.749994,0.59021777,6.2255225,0.31154495,-6.134558,-3.3052087,-6.402604,2.8374076
21142,-3.9149492,1.4725851,3.8933837,-1.545374,3.8933837,-1.545374,5.9781466,0.032999687,5.9013295,-0.2806344,-4.4565945,-3.9465983,-5.0648704,2.9529088
21143,-6.2077413,-1.1520581,5.9143567,1.2392384,5.9143567,1.2392384,5.6672573,2.7863955,5.8847823,2.7157207,-5.502494,-0.9725404,-5.1615095,-0.021460645
21144,-4.409236,-1.0530124,4.278367,0.8960224,4.278367,0.8960224,4.03648,1.925711,4.064942,1.6645644,-4.3759375,-1.9665996,-3.4090044,0.5392771
21145,-5.4356165,-3.1165562,5.5054183,2.9076407,5.5054183,2.9076407,4.0444074,4.0533476,4.426363,3.7199256,-5.6471853,0.8083514,-5.086688,-2.903582
21146,-5.1998434,-1.3364177,5.1172056,1.241218,5.1172056,1.241218,4.57409,2.5134218,4.8372188,2.3092966,-5.1679134,-1.2573963,-4.597202,-0.09608762
21147,-5.927908,0.2901276,5.6607056,-0.536056,5.6607056,-0.536056,5.2933264,0.91906774,5.0478206,1.1257263,-6.3590546,-2.5800674,-6.0082026,1.6988636
21148,-5.887095,0.37876457,5.585851,-0.5702376,5.585851,-0.5702376,5.1532946,0.8495913,4.93515,1.126971,-6.1597486,-2.6128392,-5.9358273,1.7765477
21149,-3.1925306,0.39703244,2.9796898,-0.13762327,2.9796898,-0.13762327,3.3130693,0.4175005,3.6478827,-0.03209697,-3.418531,-2.9758627,-3.2157762,1.6627675
21150,-4.144004,1.4301602,4.0436835,-1.5394489,4.0436835,-1.5394489,4.7586317,-0.37235042,4.5699883,-0.64231837,-4.726935,-3.9225204,-4.7056146,2.8113298
21151,-5.049973,0.68946755,4.8919177,-1.0473197,4.8919177,-1.0473197,5.037157,0.22668521,5.013565,0.41086736,-5.535336,-3.0884242,-4.9263105,2.3623793
21152,-4.8203883,-2.2294054,4.7989225,2.0845518,4.7989225,2.0845518,3.9545805,3.5007277,4.4131618,3.2027779,-5.1644645,-0.7808604,-4.174089,-1.5441527
21153,-5.898726,-0.011025332,5.6177087,-0.123456754,5.6177087,-0.123456754,5.7117596,1.4302132,5.573409,1.4080971,-6.235953,-2.5280347,-5.714526,1.6401535
21154,-6.18074,0.2129622,5.694285,-0.3221157,5.694285,-0.3221157,5.8700747,1.6605059,5.1981697,1.1382563,-6.0970974,-2.7387145,-6.7114754,2.0920086
21155,-4.6568384,-0.10803192,4.441501,-0.060738448,4.441501,-0.060738448,4.317995,1.2311263,4.578283,1.0462174,-5.2743015,-2.9324064,-4.332024,1.739052
21156,-4.890303,-0.69488466,4.5253735,0.46987376,4.5253735,0.46987376,4.3459253,1.6945093,4.460758,1.5538989,-4.6993427,-1.8830708,-4.2579794,0.5818825
21157,-3.9176183,0.38378483,4.037057,-0.53115296,4.037057,-0.53115296,3.913756,0.55749214,3.8805068,0.5396572,-4.8012085,-3.1232681,-3.8662183,2.2312315
21158,-6.5882716,1.0145085,6.308275,-1.2132951,6.308275,-1.2132951,6.9926186,0.7857918,6.435808,0.39674297,-6.606828,-3.42977,-7.005243,2.7414525
21159,-4.359394,1.3184351,4.3066993,-1.3855959,4.3066993,-1.3855959,4.6692176,-0.1952383,4.738059,-0.09322491,-5.181241,-3.5924509,-5.1092963,2.682473
21160,-6.42779,-0.81317884,6.4348598,0.6471464,6.4348598,0.6471464,6.004055,2.273922,6.0729504,2.407398,-6.450145,-1.4017769,-5.203049,0.664671
21161,-4.610163,1.5424216,4.315719,-1.5258839,4.315719,-1.5258839,4.579266,-0.30555096,4.006277,-0.9140675,-5.4288745,-4.074726,-5.2421365,2.8628705
21162,-4.377617,0.52924716,4.121195,-0.42667398,4.121195,-0.42667398,4.6976786,0.5957651,4.770294,0.26003563,-4.4743347,-2.8499956,-4.564087,1.8486707
21163,-3.8248901,-0.103318095,3.8379774,-0.1219448,3.8379774,-0.1219448,3.5797377,0.96874136,3.94958,0.71788174,-4.431517,-2.8158202,-4.030598,1.2869852
21164,-5.511905,-3.1189005,5.4893174,2.9579258,5.4893174,2.9579258,4.077155,3.9634795,4.1847353,3.651781,-5.3754573,0.7270945,-5.479054,-2.5810018
21165,-2.9022098,-0.031131746,2.912836,0.10996897,2.912836,0.10996897,3.165329,0.85067916,3.79979,0.30647537,-3.0162306,-2.7189705,-3.225163,1.39288
