ObjectNumber,FA1,FA2,FP,FT1,FT2,FTM,NA1,NA2,NP,NT1,NT2,NTM,RR,Class,GROUP,DAY,CONDITION,PERCENTAGE,EFFICIENCY,cosine1,cosine2,euclidean1,euclidean2,l21,l22,l11,l12,canberra1,canberra2,chebyshev1,chebyshev2,correlation1,correlation2,DISH
43,74.372,25.628,551.442,244.031,2180.108,736.894,66.462,33.538,718.01,457.264,2579.853,1167.254,1.332,5,Day 1-100K,1,100K,0.62,Low,4.6702695,5.279956,-4.951315,-5.0323358,-4.951315,-5.0323358,-2.6486342,-5.744012,-3.6174607,-5.066765,4.054144,2.1318328,2.9079435,-2.7730412,1
173,76.599,23.401,523.821,219.595,2201.338,683.563,66.299,33.701,701.577,447.325,2817.205,1239.9,1.331,5,Day 1-100K,1,100K,0.62,Low,5.0538545,5.2095203,-5.192886,-4.892585,-5.192886,-4.892585,-3.4397986,-5.8174157,-4.0987263,-4.593277,4.0094986,2.2248828,3.5125313,-3.033501,1
95,73.402,26.598,468.245,271.332,2226.699,789.519,66.253,33.747,629.436,441.195,2581.065,1162.789,1.327,5,Day 1-100K,1,100K,0.62,Low,4.13586,4.724716,-4.388461,-4.2441373,-4.388461,-4.2441373,-2.377564,-5.2385006,-2.7827537,-5.148615,3.925046,2.6415038,2.3879056,-2.143595,1
110,75.096,24.904,392.886,263.845,2262.228,759.451,69.929,30.071,522.086,469.335,2691.977,1134.602,1.327,5,Day 1-100K,1,100K,0.62,Low,3.0662558,3.4167235,-3.3369253,-2.9310813,-3.3369253,-2.9310813,-1.8360639,-3.4793005,-1.5176429,-4.707408,3.0055277,2.6120014,1.5854504,-0.9600107,1
111,75.346,24.654,476.763,222.963,2245.076,719.812,69.291,30.709,661.957,500.24,2647.56,1161.509,1.325,5,Day 1-100K,1,100K,0.62,Low,3.918106,3.7069793,-4.057783,-3.7281222,-4.057783,-3.7281222,-2.431413,-4.2398157,-2.69224,-4.580244,3.4343283,2.4370148,2.2294254,-1.5916078,1
172,76.347,23.653,316.083,264.465,2153.885,709.78,70.916,29.084,417.806,403.318,2400.276,982.138,1.324,2,Day 1-100K,1,100K,0.62,Low,3.6102653,1.6850348,-3.8421834,-1.5318407,-3.8421834,-1.5318407,-3.0676284,-2.0279503,-0.006849323,-3.1570408,2.638836,4.2084002,1.3373951,-0.39350104,1
99,73.841,26.159,451.381,240.955,2249.793,763.101,68.028,31.972,590.643,447.377,2513.519,1103.561,1.323,5,Day 1-100K,1,100K,0.62,Low,3.9351401,3.932809,-4.228265,-3.6239026,-4.228265,-3.6239026,-2.4099252,-4.3546767,-2.3449147,-4.628153,3.6437771,2.9867141,1.7717317,-1.4723033,1
122,72.765,27.235,545.891,249.666,2233.856,788.517,64.36,35.64,718.579,430.725,2548.361,1185.677,1.321,5,Day 1-100K,1,100K,0.62,Low,4.661458,5.7841716,-4.9538045,-5.354325,-4.9538045,-5.354325,-2.5219884,-6.3401117,-3.442157,-5.74072,4.0337286,2.0028317,3.3603761,-2.8167503,1
9,72.318,27.682,472.071,255.468,2202.781,791.3,69.311,30.689,635.429,440.459,2528.227,1077.206,1.319,4,Day 1-100K,1,100K,0.62,Low,3.5442526,3.5246243,-3.947305,-3.1418161,-3.947305,-3.1418161,-1.9327399,-3.8588307,-1.9604508,-4.7225294,3.5252595,3.282374,1.2193601,-0.8931412,1
169,72.549,27.451,617.698,250.938,2159.027,773.729,63.323,36.677,813.651,468.687,2754.444,1302.602,1.311,5,Day 1-100K,1,100K,0.62,Low,4.3371773,6.359083,-4.7517633,-6.194233,-4.7517633,-6.194233,-2.245839,-6.970841,-3.5646558,-6.5584292,4.030418,1.432106,3.7009182,-2.6372998,1
83,72.866,27.134,484.779,243.689,2255.51,786.34,65.966,34.034,638.395,481.201,2621.869,1208.81,1.311,5,Day 1-100K,1,100K,0.62,Low,4.5016537,5.4960938,-4.737195,-5.086953,-4.737195,-5.086953,-2.5427163,-6.1079674,-3.4821649,-5.7432504,3.8881767,2.0647268,3.1167881,-2.6054995,1
145,73.334,26.666,528.436,239.274,2232.375,768.317,65.382,34.618,691.821,463.413,2599.435,1199.945,1.302,5,Day 1-100K,1,100K,0.62,Low,4.5853434,5.585574,-4.940946,-5.219159,-4.940946,-5.219159,-2.6770575,-6.2061386,-3.6614199,-5.5971045,3.9719079,1.9594245,3.2151487,-2.6965072,1
91,74.004,25.996,455.861,264.836,2244.392,777.143,68.255,31.745,601.96,453.469,2596.495,1133.802,1.299,5,Day 1-100K,1,100K,0.62,Low,3.9168744,3.9606955,-4.0958314,-3.6420155,-4.0958314,-3.6420155,-2.3350656,-4.4069314,-2.4493864,-4.851321,3.6951613,2.825399,1.805971,-1.604998,1
65,73.563,26.437,498.86,232.501,2238.079,760.897,65.143,34.857,642.605,474.712,2582.98,1204.183,1.294,5,Day 1-100K,1,100K,0.62,Low,4.645015,5.577121,-4.9564147,-5.1213603,-4.9564147,-5.1213603,-2.738349,-6.1667814,-3.661299,-5.5547595,3.9499662,2.1158848,3.1531782,-2.7071579,1
125,76.167,23.833,472.094,207.489,2301.588,706.608,68.922,31.078,617.245,498.482,2654.658,1157.482,1.293,5,Day 1-100K,1,100K,0.62,Low,3.6267917,3.8498816,-3.9153693,-3.73765,-3.9153693,-3.73765,-2.4811344,-4.1400867,-2.6796613,-4.4815097,3.2543507,2.2936776,2.2353096,-1.5052055,1
118,72.416,27.584,537.707,231.235,2139.381,755.788,65.495,34.505,687,434.896,2557.525,1164.067,1.288,5,Day 1-100K,1,100K,0.62,Low,4.6931024,5.322658,-5.174408,-4.4396925,-5.174408,-4.4396925,-2.822239,-5.826849,-3.5464299,-4.87249,3.8499842,2.8745718,2.7524197,-2.9227085,1
79,72.754,27.246,447.629,267.874,2242.548,801.202,70.158,29.842,582.952,457.524,2676.101,1118.766,1.287,4,Day 1-100K,1,100K,0.62,Low,2.8958526,3.511994,-3.4626727,-3.2903192,-3.4626727,-3.2903192,-1.5287051,-3.7524505,-1.598209,-4.699644,2.6132865,2.5867603,0.9789855,-0.6254516,1
114,73.856,26.144,431.231,252.287,2209.812,762.739,67.503,32.497,575.523,459.051,2561.646,1146.247,1.283,5,Day 1-100K,1,100K,0.62,Low,4.053853,3.9940033,-4.2890706,-3.67639,-4.2890706,-3.67639,-2.4895875,-4.5295277,-2.4798317,-4.694665,3.7743084,2.8672514,2.2635384,-2.1846232,1
8,73.97,26.03,547.495,251.465,2204.189,757.529,68.939,31.061,674.786,431.058,2547.116,1085.084,1.283,5,Day 1-100K,1,100K,0.62,Low,4.559754,3.8537614,-4.7136154,-3.4662275,-4.7136154,-3.4662275,-2.924502,-4.3310103,-3.0650253,-4.218562,3.4987187,3.5527232,1.6080838,-2.4775536,1
